stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003453001,453001,453003 & 463004,North Fayette  ,,0.205551495,0
Pennsylvania,42003453003,452000,,Findlay  ,,0.277575149,0
Pennsylvania,42003455000,455000,,Oakdale ,,0.297605976,0
Pennsylvania,42003456001,456001,,South Fayette  ,,0.24822681,0
Pennsylvania,42003456003,456003,,South Fayette  ,,0.248328663,0
Pennsylvania,42003456004,456004,,South Fayette  ,,0.238048934,0
Pennsylvania,42003457100,457100,,Bridgeville ,,0.288572503,0
Pennsylvania,42003457200,457200,,Bridgeville ,,0.278822113,0
Pennsylvania,42003458000,458000,,Collier  ,,0.281623751,0
Pennsylvania,42003459101,459101,,Robinson  ,,0.280461054,0
Pennsylvania,42003459102,459102,,Robinson  ,,0.245685092,0
Pennsylvania,42003459201,459201,,Robinson  ,,0.235759791,0
Pennsylvania,42003459202,459202,,Pennsbury Village ,,0.173870245,0
Pennsylvania,42003460001,460001,,Kennedy  ,,0.277756162,0
Pennsylvania,42003460002,460002,,Kennedy  ,,0.282831081,0
Pennsylvania,42003461000,461000,,Neville  ,,0.290218333,0
Pennsylvania,42003462100,462100,,Stowe  ,,0.317742265,0
Pennsylvania,42003462600,462600,,Stowe  ,,0.30465547,0
Pennsylvania,42003463900,463900,,McKees Rocks ,,0.305836946,0
Pennsylvania,42003464300,464300,,Ingram ,,0.284627141,0
Pennsylvania,42003464400,464400,,McKees Rocks ,,0.36654976,0
Pennsylvania,42003465600,465600,,Crafton ,,0.272410691,0
Pennsylvania,42003465800,465800,,Crafton ,,0.246274112,0
Pennsylvania,42003468700,468700,,Carnegie ,,0.293042609,0
Pennsylvania,42003468800,468800,,Carnegie ,,0.293161169,0
Pennsylvania,42003468900,468900,,Carnegie ,,0.283629399,0
Pennsylvania,42003469000,469000,,Greentree ,,0.25323124,0
Pennsylvania,42003470300,470300,,Scott  ,,0.248136885,0
Pennsylvania,42003470400,470400,,Scott  ,,0.259458042,0
Pennsylvania,42003470501,470500,470501 & 470502,Scott  ,,0.209268322,0
Pennsylvania,42003470600,470600,,Scott  ,,0.282315192,0
Pennsylvania,42003471000,471000,,Heidelberg ,,0.283627226,0
Pennsylvania,42003472100,472100,,Dormnt ,,0.261751274,0
Pennsylvania,42003472200,472200,,Dormnt ,,0.232519538,0
Pennsylvania,42003472300,472300,,Dormnt ,,0.240211523,0
Pennsylvania,42003472400,472400,,Dormnt ,,0.260487087,0
Pennsylvania,42003473100,473100,,MT Lebanon  ,,0.181867304,0
Pennsylvania,42003473200,473200,,MT Lebanon  ,,0.188263123,0
Pennsylvania,42003473300,473300,,MT Lebanon  ,,0.186378523,0
Pennsylvania,42003473401,473401,,MT Lebanon  ,,0.174953973,0
Pennsylvania,42003473402,473402,,MT Lebanon  ,,0.188359755,0
Pennsylvania,42003473500,473500,,MT Lebanon  ,,0.145972561,0
Pennsylvania,42003473601,473601,,MT Lebanon  ,,0.174779251,0
Pennsylvania,42003473602,473602,,MT Lebanon  ,,0.205275743,0
Pennsylvania,42003474101,474101,,Upper St. Clair  ,,0.188035081,0
Pennsylvania,42003474102,474102,,Upper St. Clair  ,,0.148540756,0
Pennsylvania,42003474201,474201,,Upper St. Clair  ,,0.181177141,0
Pennsylvania,42003474202,474202,,Upper St. Clair  ,,0.169378578,0
Pennsylvania,42003474203,474203,,Upper St. Clair  ,,0.178623345,0
Pennsylvania,42003475101,475101,,Bethel Park Muni,,0.253670044,0
Pennsylvania,42003475102,475102,,Bethel Park Muni,,0.240148198,0
Pennsylvania,42003475200,475200,,Bethel Park Muni,,0.226594614,0
